"","kingdom","phylum","class","order","family","genus","species"
"783","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terricola"
"788","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces beijingensis"
"789","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces lactosus"
"790","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","unidentified"
"791","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","Sporormia fimetaria"
"792","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","unidentified"
"793","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","unidentified"
"794","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys","Stachybotrys chartarum"
"795","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys","unidentified"
"796","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","unidentified"
"797","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Stagonosporopsis","unidentified"
"798","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Staphylotrichum","unidentified"
"799","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Staurothele","Staurothele areolata"
"800","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium amaranthi"
"801","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium vesicarium"
"802","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Stephanonectria","unidentified"
"803","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum hirsutum"
"805","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Striatibotrys","Striatibotrys oleronensis"
"806","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Strobilurus","Strobilurus stephanocystis"
"807","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Strobilurus","Strobilurus tenacellus"
"808","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Stromatinia","Stromatinia narcissi"
"809","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus collinitus"
"810","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Sydowia","unidentified"
"812","Fungi","Ascomycota","Dothideomycetes","Kirschsteiniotheliales","Kirschsteiniotheliaceae","Taeniolella","unidentified"
"813","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces amestolkiae"
"814","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces australis"
"815","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces columbinus"
"816","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces marneffei"
"817","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces minioluteus"
"818","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces proteolyticus"
"819","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces purpureogenus"
"820","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces rugulosus"
"821","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","unidentified"
"822","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia pullulans"
"823","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Terfezia","unidentified"
"828","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Tetragoniomycetaceae","Tetragoniomyces","Tetragoniomyces uliginosus"
"829","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria rubi"
"830","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Thermomyces","Thermomyces lanuginosus"
"831","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thielavia","Thielavia basicola"
"833","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unidentified"
