"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Paracladophialophoraceae;unidentified;unidentified",29,35,62,195,136,211,133,324,581,153,120,133,313,25,114,3,0,0,0,0,54,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__nigrifacta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,489,30,0,0,0,506
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lindgomycetaceae;g__Clohesyomyces;s__aquaticus",570,333,507,328,450,410,0,111,110,143,57,0,0,0,2,6,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__sinapizans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,1135,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;unidentified",4,0,0,0,0,0,1083,0,0,56,63,5,0,3,0,72,61,709,278,149,0,108,6,2789
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__pilicola",0,0,0,0,0,0,17,12,0,0,480,641,155,160,572,135,145,153,0,9,0,20,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Pleotrichocladium;s__opacum",45,14,52,29,331,39,42,64,62,134,327,35,8,9,51,38,23,45,190,92,91,97,111,38
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__tsunedae",58,165,516,461,59,63,607,206,615,114,79,119,255,0,0,0,3,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__shennongjiana",0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,688,54,0,1748,124
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium;s__crispatum",233,191,169,268,485,151,0,0,0,163,0,26,0,0,0,0,0,0,6,0,0,0,18,34
