"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia;s__Orbilia cladodes",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys flagrans",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified",11,0,44,21401,159,59,44,397,2520,38,127,47,34,75,71,12,30,40,46,51,134,101,93,0
"k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__unidentified",4,0,0,0,34,0,0,20,0,6,0,0,0,0,0,0,0,5,0,0,44,0,19,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Arthroderma;s__Arthroderma uncinatum",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Eremomycetales;f__Eremomycetaceae;g__Arthrographis;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified",6,393,127,135,313,87,60,747,0,57,318,108,51,148,215,23,39,82,102,363,940,412,171,446
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Discinellaceae;g__Articulospora;s__unidentified",0,0,15,0,30,17,5,119,0,1,0,22,8,20,48,7,4,17,17,0,163,77,48,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__unidentified",13,0,19,0,32,34,60,334,0,27,0,38,24,246,153,6,47,23,12,0,190,0,267,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__Ascobolus stercorarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Ascochyta;s__Ascochyta manawaorae",0,0,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,0,3,0,26,0,14,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Ascorhizoctonia;s__unidentified",3,0,2,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0,0,0,0,0,19,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__unidentified",22,0,182,381,566,106,140,728,2482,123,1752,127,144,286,427,26,71,133,204,1535,731,1520,355,870
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Astraeaceae;g__Astraeus;s__Astraeus telleriae",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__unidentified",1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Auxarthron;s__Auxarthron concentricum",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma;s__Barnettozyma californica",0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Bartalinia;s__Bartalinia robillardoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Basidioascus;s__Basidioascus undulatus",0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Ustilentylomataceae;g__Bauerago;s__Bauerago abstrusa",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria bassiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria felina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__unidentified",0,649,0,0,0,3,4,0,0,0,0,0,0,5,13,4,1,2,0,0,0,0,7,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Blastobotrys;s__Blastobotrys raffinosifermentans",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Blastobotrys;s__Blastobotrys serpentis",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Bloxamia;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria;s__Blumeria graminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Boeremia;s__Boeremia exigua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,101
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__unidentified",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis cinerea",0,0,15,50,43,20,19,116,0,14,0,11,0,8,42,4,6,7,5,0,19,0,26,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Bradymyces;s__Bradymyces alpinus",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Brettanomyces;s__Brettanomyces bruxellensis",6,0,18139,0,20,28,9,38,0,3,0,5,15,0,45,4,2830,1502,0,0,2116,0,33,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Ceratocystidaceae;g__Bretziella;s__Bretziella fagacearum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera;s__Bullera coprosmae",0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera;s__Bullera unica",0,0,0,0,0,0,0,28,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys;s__Byssochlamys fulva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys;s__Byssochlamys nivea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified",15,592,61,113,216,146,105,595,2772,57,72,66,19,93,212,43,23,110,95,358,794,511,356,58
"k__Fungi;p__Mucoromycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Calloria;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Calvatia;s__Calvatia fragilis",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Pezizellaceae;g__Calycina;s__Calycina claroflava",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,11,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Calyptella;s__Calyptella capula",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__[Candida] boidinii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__unidentified;s__unidentified",20,0,1,0,4,5,15,17,0,3,0,9,12,3,6,5923,9,3,7,0,12,0,14,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora;s__[Candida] intermedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma;s__[Candida] norvegica",1,0,0,0,0,0,21237,3,0,0,0,1,0,0,16,0,0,0,18,0,0,0,2,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida;s__Candida parapsilosis",1,0,0,0,0,144,4,2,0,6,0,5,0,23,0,0,1,0,0,0,0,0,45597,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__[Candida] quercitrusa",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__[Candida] railenensis",7,0,0,0,1,1,0,11,0,0,0,5,3,4,1,0,3,1,3,0,0,0,3,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unidentified;g__unidentified;s__unidentified",13,0,16,0,61,14,28,60,0,5,0,14,4,39,42,5,4,21,9,0,52,0,45,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida;s__Candida tropicalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__[Candida] zeylanoides",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Capnobotryella;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Capnodium;s__unidentified",1,0,0,0,0,0,0,19,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__unidentified",0,0,0,0,0,7,0,13,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0
"k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes;o__Blastocladiales;f__Catenariaceae;g__Catenaria;s__Catenaria anguillulae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascodesmidaceae;g__Cephaliophora;s__unidentified",1,0,12,0,33,1,5,46,0,1,0,4,19,48,30,8,2,16,15,0,74,0,22,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__unidentified;g__unidentified;s__unidentified",4,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unidentified",0,0,0,0,10,1,0,11,0,0,0,0,0,6,6,0,0,1,7,0,0,0,9,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Ceratocystidaceae;g__Ceratocystis;s__unidentified",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora;s__Cercophora samala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,67
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora;s__unidentified",0,0,0,0,11,11,0,23,0,3,0,3,0,12,20,0,0,18,0,0,16,95,22,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora;s__Cercophora sulphurella",0,0,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Cercospora;s__unidentified",21653,0,36702,0,48,3,41000,62,0,174,0,5,45767,31,11370,0,30611,19136,16487,0,52,0,14,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomidium;s__Chaetomidium gallecicum",0,0,0,0,0,1,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium;s__Trichocladium acropullum",0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,104,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium caprinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium globosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola homopilata",0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
